trip_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_zone,dropoff_zone,fare_amount,tip_amount,total_amount,payment_type,driver_id
1,01-01-2022,01-01-2022,4,1.25,Bronx,Manhattan,3.48,0.22,3.7,Credit Card,149
2,01-01-2022,01-01-2022,4,1.21,Bronx,Staten Island,3.19,0.22,3.41,Cash,103
3,01-01-2022,01-01-2022,2,6.1,Bronx,Brooklyn,19.88,5.32,25.2,Credit Card,107
4,01-01-2022,01-01-2022,3,5.63,Bronx,Queens,19.31,3.17,22.48,Credit Card,135
5,01-01-2022,01-01-2022,3,5.08,Staten Island,Staten Island,15.75,2.61,18.36,Credit Card,109
6,01-01-2022,01-01-2022,4,7.62,Brooklyn,Staten Island,23.89,6.84,30.73,Credit Card,129
7,01-01-2022,01-01-2022,3,5.15,Bronx,Staten Island,16.8,2.18,18.98,Cash,199
8,01-01-2022,01-01-2022,1,3.29,Brooklyn,Staten Island,8.73,2.39,11.12,Credit Card,115
9,01-01-2022,01-01-2022,1,4.99,Bronx,Queens,17.33,5.09,22.42,Cash,129
10,01-01-2022,01-01-2022,1,14.64,Queens,Manhattan,41.93,4.63,46.56,Cash,163
11,01-01-2022,01-01-2022,3,6.46,Queens,Queens,20.21,3.61,23.82,Credit Card,173
12,01-01-2022,01-01-2022,2,6.95,Queens,Queens,20.63,3.79,24.42,Credit Card,110
13,01-01-2022,01-01-2022,2,8.86,Bronx,Brooklyn,26.3,7.01,33.31,Cash,133
14,01-01-2022,01-01-2022,2,14.76,Brooklyn,Bronx,47.27,5.95,53.22,Credit Card,179
15,01-01-2022,01-01-2022,2,4,Staten Island,Bronx,13.98,3.49,17.47,Cash,154
16,01-01-2022,01-01-2022,1,10.38,Manhattan,Brooklyn,32.79,9.6,42.39,Cash,182
17,01-01-2022,01-01-2022,1,10.88,Staten Island,Queens,35.84,9.32,45.16,Credit Card,103
18,01-01-2022,01-01-2022,4,9.31,Bronx,Brooklyn,23.53,6.52,30.05,Credit Card,148
19,01-01-2022,01-01-2022,3,1.78,Queens,Staten Island,5.89,1.34,7.23,Credit Card,143
20,01-01-2022,01-01-2022,3,10.31,Queens,Brooklyn,28.87,7.97,36.84,Cash,130
21,01-01-2022,01-01-2022,2,1.43,Brooklyn,Brooklyn,3.76,0.34,4.1,Cash,147
22,01-01-2022,01-01-2022,1,9.14,Bronx,Staten Island,23.89,5.45,29.34,Credit Card,198
23,01-01-2022,01-01-2022,2,11.22,Staten Island,Bronx,35.68,8.31,43.99,Credit Card,197
24,01-01-2022,01-01-2022,4,3.56,Bronx,Staten Island,12.45,1.99,14.44,Cash,125
25,01-01-2022,01-01-2022,3,12.7,Bronx,Manhattan,40.21,2.81,43.02,Cash,169
26,01-01-2022,01-01-2022,3,0.94,Queens,Brooklyn,2.6,0.53,3.13,Credit Card,196
27,01-01-2022,01-01-2022,2,12.74,Staten Island,Brooklyn,34.44,2.17,36.61,Cash,190
28,01-01-2022,01-01-2022,4,7.17,Manhattan,Bronx,21.7,3.16,24.86,Credit Card,111
29,01-01-2022,01-01-2022,3,3.66,Queens,Queens,9.39,1.39,10.78,Cash,144
30,01-01-2022,01-01-2022,4,2.44,Staten Island,Staten Island,7.07,2.12,9.19,Credit Card,107
31,01-01-2022,01-01-2022,4,14.32,Brooklyn,Queens,45.34,5.67,51.01,Credit Card,108
32,01-01-2022,01-01-2022,2,1.55,Queens,Manhattan,5.37,1.37,6.74,Cash,100
33,01-01-2022,01-01-2022,1,3.39,Brooklyn,Staten Island,9.92,0.63,10.55,Cash,104
34,01-01-2022,01-01-2022,2,5.54,Queens,Manhattan,14.96,2.73,17.69,Credit Card,170
